date,company,open_price,high_price,low_price,close_price,volume,market_sentiment,daily_return,price_range,month,year
2015-01-04,Amazon,514.78,299.75,441.69,222.58,43823086,Bullish,,-141.94,2015-01,2015
2015-01-05,Amazon,779.04,657.66,1301.97,1453.85,38410461,Neutral,553.1808787851558,-644.3100000000001,2015-01,2015
2015-01-20,Amazon,1372.24,1004.11,1061.16,995.23,36111152,Bullish,-31.545207552360964,-57.05000000000007,2015-01,2015
2015-01-23,Amazon,347.79,433.18,121.05,1170.53,5455226,Bullish,17.61401887000995,312.13,2015-01,2015
2015-01-31,Amazon,1064.43,838.63,900.94,1478.93,40446060,Neutral,26.34703937532572,-62.31000000000006,2015-01,2015
2015-02-11,Amazon,1477.96,1172.99,880.64,735.23,47253783,Neutral,-50.286355676063096,292.35,2015-02,2015
2015-02-12,Amazon,1361.57,1529.12,326.13,1202.74,31257520,Bullish,63.58690477809665,1202.9899999999998,2015-02,2015
2015-02-14,Amazon,632.27,265.77,1052.35,925.64,46320916,Bullish,-23.039060811147884,-786.5799999999999,2015-02,2015
2015-02-26,Amazon,1490.86,1336.65,1433.61,824.47,43527153,Bullish,-10.929735102199556,-96.95999999999981,2015-02,2015
2015-03-05,Amazon,494.71,1312.13,300.26,440.46,21526071,Neutral,-46.576588596310366,1011.8700000000001,2015-03,2015
2015-03-07,Amazon,908.09,303.4,748.03,1386.55,9224062,Bearish,214.79589520047222,-444.63,2015-03,2015
2015-03-08,Amazon,1058.93,1311.9,816.45,762.19,47233601,Neutral,-45.02975009916699,495.45000000000005,2015-03,2015
2015-03-09,Amazon,598.08,475.08,1206.51,1320.63,178232,Bearish,73.26782035975282,-731.4300000000001,2015-03,2015
2015-03-11,Amazon,911.37,105.55,1290.26,519.48,48358225,Bullish,-60.66422843642807,-1184.71,2015-03,2015
2015-03-12,Amazon,827.4,971.95,531.44,1111.19,16134235,Bearish,113.9042889042889,440.51,2015-03,2015
2015-03-14,Amazon,226.59,1522.79,327.87,1122.89,34513176,Bullish,1.0529252423078006,1194.92,2015-03,2015
2015-03-16,Amazon,923.9,759.02,433.91,1448.69,4648538,Bearish,29.014418153158374,325.10999999999996,2015-03,2015
2015-03-24,Amazon,1106.39,413.11,448.49,283.58,19713090,Bullish,-80.42507368726228,-35.379999999999995,2015-03,2015
2015-03-28,Amazon,770.75,243.76,1206.87,550.0,42651335,Bearish,93.94879751745539,-963.1099999999999,2015-03,2015
2015-03-29,Amazon,1498.06,862.51,508.69,620.27,21990941,Neutral,12.77636363636363,353.82,2015-03,2015
2015-04-03,Amazon,572.71,555.22,74.92,917.8,40929115,Bullish,47.96782046528125,480.3,2015-04,2015
2015-04-07,Amazon,1109.32,162.39,726.31,567.79,47336444,Bullish,-38.13575942471127,-563.92,2015-04,2015
2015-04-14,Amazon,1399.79,854.97,86.94,1244.22,35517734,Neutral,119.13383469240388,768.03,2015-04,2015
2015-04-15,Amazon,713.59,788.96,1072.0,1246.22,47859728,Bullish,0.16074327691244505,-283.03999999999996,2015-04,2015
2015-04-18,Amazon,1188.34,379.81,613.56,792.92,21644359,Neutral,-36.373994960761344,-233.74999999999994,2015-04,2015
2015-04-23,Amazon,1315.37,1311.32,122.31,422.63,39513683,Bullish,-46.69954093729506,1189.01,2015-04,2015
2015-04-26,Amazon,1204.96,1349.59,568.71,1063.28,39169442,Bullish,151.586494096491,780.8799999999999,2015-04,2015
2015-05-08,Amazon,865.45,878.31,900.64,403.14,30546886,Bearish,-62.08524565495448,-22.33000000000004,2015-05,2015
2015-05-27,Amazon,523.55,1151.77,335.93,139.44,45713671,Bearish,-65.41151957136478,815.8399999999999,2015-05,2015
2015-06-17,Amazon,758.9,1467.72,335.61,694.51,20358927,Bearish,398.07085484796335,1132.1100000000001,2015-06,2015
2015-06-20,Amazon,1371.2,1510.84,1232.91,249.14,41674738,Bearish,-64.12722638982879,277.92999999999984,2015-06,2015
2015-06-27,Amazon,445.75,1437.61,438.09,924.53,16904641,Neutral,271.0885445934013,999.52,2015-06,2015
2015-06-30,Amazon,1412.99,997.57,576.41,1024.79,43650890,Neutral,10.844429061252736,421.1600000000001,2015-06,2015
2015-07-10,Amazon,1140.61,988.15,165.66,745.32,8838177,Bullish,-27.270953073312576,822.49,2015-07,2015
2015-07-11,Amazon,1198.63,438.99,549.12,406.56,20719201,Neutral,-45.45161809692482,-110.13,2015-07,2015
2015-07-16,Amazon,268.45,1029.01,1419.02,98.39,15182352,Bullish,-75.79939000393546,-390.01,2015-07,2015
2015-07-24,Amazon,353.08,1324.14,1035.7,170.11,17717913,Bullish,72.89358674662061,288.44000000000005,2015-07,2015
2015-08-07,Amazon,457.64,1466.72,87.28,1218.39,22203851,Bearish,616.2365528187644,1379.44,2015-08,2015
2015-08-17,Amazon,111.94,1518.92,1005.61,433.93,37511203,Bullish,-64.38496704667635,513.3100000000001,2015-08,2015
2015-08-26,Amazon,282.56,1282.3,57.31,941.99,11558735,Bullish,117.08340054847555,1224.99,2015-08,2015
2015-09-03,Amazon,543.7,843.74,1127.45,558.87,34412945,Bullish,-40.67134470641939,-283.71000000000004,2015-09,2015
2015-09-19,Amazon,559.26,630.34,1082.35,263.34,19270818,Bullish,-52.87991840678512,-452.0099999999999,2015-09,2015
2015-09-24,Amazon,1087.92,1134.67,797.03,1489.55,33790250,Neutral,465.6375787954736,337.6400000000001,2015-09,2015
2015-10-01,Amazon,1067.66,146.83,79.09,688.56,28350461,Bearish,-53.77395857809406,67.74000000000001,2015-10,2015
2015-10-17,Amazon,1181.45,484.19,616.14,65.77,28374704,Bearish,-90.44818171255955,-131.95,2015-10,2015
2015-10-21,Amazon,1044.33,1453.38,71.74,663.14,41779802,Neutral,908.2712482894938,1381.64,2015-10,2015
2015-10-26,Amazon,749.29,716.51,867.12,1001.94,29598477,Neutral,51.090267515155176,-150.61,2015-10,2015
2015-10-27,Amazon,76.67,1524.71,315.99,660.39,46254278,Neutral,-34.088867596862094,1208.72,2015-10,2015
2015-10-31,Amazon,341.9,974.48,589.88,569.0,30419431,Bearish,-13.838792228834473,384.6,2015-10,2015
2015-11-06,Amazon,234.31,1037.28,977.15,74.08,45413442,Bearish,-86.98066783831283,60.129999999999995,2015-11,2015
2015-11-14,Amazon,1277.46,239.65,141.65,297.45,17610672,Bearish,301.5253779697624,98.0,2015-11,2015
2015-11-28,Amazon,1174.29,1238.51,995.11,560.82,21726067,Bullish,88.54261220373174,243.39999999999998,2015-11,2015
2015-12-25,Amazon,1379.63,706.63,153.96,1395.87,126027,Bullish,148.89804215256225,552.67,2015-12,2015
2015-12-26,Amazon,530.18,1012.16,1324.21,1369.2,28238922,Neutral,-1.9106363773130575,-312.05000000000007,2015-12,2015
2016-01-13,Amazon,689.96,1209.7,755.15,118.1,16587059,Bullish,-91.37452527023079,454.55000000000007,2016-01,2016
2016-01-16,Amazon,1245.26,1367.76,315.84,959.15,27699886,Bearish,712.1507197290432,1051.92,2016-01,2016
2016-01-25,Amazon,844.78,1459.39,1108.4,180.14,35768673,Neutral,-81.21878746807069,350.99,2016-01,2016
2016-01-26,Amazon,1134.26,471.18,1417.82,1315.87,295576,Bearish,630.4707449761297,-946.6399999999999,2016-01,2016
2016-01-30,Amazon,1087.16,835.17,1221.86,1131.11,25952208,Bearish,-14.040900696877356,-386.68999999999994,2016-01,2016
2016-02-04,Amazon,1001.71,180.44,83.85,182.36,9454558,Bullish,-83.87778376992512,96.59,2016-02,2016
2016-02-08,Amazon,444.28,350.34,132.6,371.58,19949459,Bullish,103.76178986619871,217.73999999999998,2016-02,2016
2016-02-16,Amazon,924.93,823.01,127.51,1252.83,17006846,Bullish,237.16292588406262,695.5,2016-02,2016
2016-02-17,Amazon,1202.03,1091.11,294.59,335.88,36646168,Neutral,-73.19029716721343,796.52,2016-02,2016
2016-02-27,Amazon,1024.37,1149.21,1366.85,766.93,47673749,Bearish,128.33452423484576,-217.63999999999987,2016-02,2016
2016-03-03,Amazon,798.26,1391.34,1277.52,643.99,7063675,Neutral,-16.030146167186043,113.81999999999994,2016-03,2016
2016-03-10,Amazon,1296.35,1238.52,131.65,1143.36,49233982,Neutral,77.54312955170109,1106.87,2016-03,2016
2016-03-11,Amazon,160.59,1004.39,718.8,1166.55,42221493,Neutral,2.0282325776658228,285.59000000000003,2016-03,2016
2016-03-12,Amazon,67.1,994.71,1301.46,1435.28,29498759,Neutral,23.036303630363044,-306.75,2016-03,2016
2016-03-30,Amazon,323.29,1055.76,81.09,75.65,23828041,Neutral,-94.72925143526003,974.67,2016-03,2016
2016-04-16,Amazon,759.49,634.33,1192.29,1319.57,48169975,Neutral,1644.3093192333113,-557.9599999999999,2016-04,2016
2016-04-17,Amazon,498.32,1191.27,715.26,940.32,37551029,Neutral,-28.740423016588736,476.01,2016-04,2016
2016-04-24,Amazon,108.35,791.08,242.45,225.0,11405867,Neutral,-76.07197549770291,548.6300000000001,2016-04,2016
2016-05-02,Amazon,357.35,1047.17,749.72,668.41,19636521,Bearish,197.07111111111112,297.45000000000005,2016-05,2016
2016-05-08,Amazon,1483.43,1482.44,1135.44,411.95,31220727,Bearish,-38.368665938570636,347.0,2016-05,2016
2016-05-13,Amazon,488.42,1336.58,837.48,363.38,4360899,Neutral,-11.7902658089574,499.0999999999999,2016-05,2016
2016-06-17,Amazon,1376.17,1345.65,1045.96,301.58,28970873,Neutral,-17.006989927899173,299.69000000000005,2016-06,2016
2016-06-21,Amazon,311.31,1365.86,531.59,1468.77,5552652,Bearish,387.0250016579349,834.2699999999999,2016-06,2016
2016-06-29,Amazon,782.45,716.47,667.47,888.52,44971414,Neutral,-39.50584502679112,49.0,2016-06,2016
2016-06-30,Amazon,438.23,812.46,832.14,900.49,31071951,Bullish,1.3471840813937819,-19.67999999999995,2016-06,2016
2016-07-02,Amazon,1178.54,1517.52,937.87,1258.89,10422907,Neutral,39.800553032238014,579.65,2016-07,2016
2016-07-24,Amazon,846.81,126.0,661.26,535.61,16751370,Bearish,-57.453788655085035,-535.26,2016-07,2016
2016-08-03,Amazon,520.7,558.53,845.5,674.8,24224140,Bullish,25.987192173409746,-286.97,2016-08,2016
2016-08-06,Amazon,1260.08,648.94,194.86,508.33,9708692,Bullish,-24.669531713100177,454.08000000000004,2016-08,2016
2016-08-20,Amazon,1219.25,1125.7,763.38,951.28,49207076,Bullish,87.138276316566,362.32000000000005,2016-08,2016
2016-09-02,Amazon,639.68,1310.85,248.45,1429.06,45067582,Bearish,50.22496005382222,1062.3999999999999,2016-09,2016
2016-09-26,Amazon,424.38,1307.2,1085.76,932.75,34952214,Bearish,-34.72982240073894,221.44000000000005,2016-09,2016
2016-10-07,Amazon,238.26,807.02,725.39,492.41,40048711,Bearish,-47.2087912087912,81.63,2016-10,2016
2016-10-12,Amazon,760.12,1427.34,953.45,315.87,27355950,Bearish,-35.85223695700738,473.8899999999999,2016-10,2016
2016-10-14,Amazon,998.83,1425.8,1426.14,459.75,7656092,Bullish,45.55038465191377,-0.3400000000001455,2016-10,2016
2016-10-15,Amazon,1179.57,353.48,652.31,451.65,4060874,Bullish,-1.7618270799347524,-298.8299999999999,2016-10,2016
2016-11-02,Amazon,514.33,1077.11,62.55,696.9,33941566,Bullish,54.3008967120558,1014.56,2016-11,2016
2016-11-05,Amazon,442.43,1153.72,52.66,1400.35,36090788,Neutral,100.93987659635526,1101.06,2016-11,2016
2016-11-09,Amazon,1008.99,1350.3,606.58,694.81,44155216,Neutral,-50.38311850608777,743.7199999999999,2016-11,2016
2016-11-17,Amazon,303.37,553.2,166.37,1227.19,6288765,Bullish,76.62238597602224,386.83000000000004,2016-11,2016
2016-11-21,Amazon,1337.43,1430.97,623.72,1199.77,11647518,Bearish,-2.234372835502252,807.25,2016-11,2016
2016-12-11,Amazon,62.63,1172.37,640.23,438.68,44599598,Neutral,-63.43632529568167,532.1399999999999,2016-12,2016
2016-12-12,Amazon,612.66,1268.13,423.43,912.07,13145706,Bullish,107.91237348408865,844.7,2016-12,2016
2016-12-17,Amazon,748.48,346.29,229.68,452.59,9946517,Bearish,-50.37771223699936,116.61000000000001,2016-12,2016
2016-12-21,Amazon,605.04,1359.03,1337.73,750.74,42972459,Neutral,65.87640027397867,21.299999999999955,2016-12,2016
2016-12-28,Amazon,469.72,574.31,848.56,802.47,42420064,Bearish,6.890534672456505,-274.25,2016-12,2016
